Wish List,Lista życzeń
Wish List Sharing,Udostępnianie listy życzeń
My Wish List,Moja lista życzeń
%1's Wish List,Lista życzeń %1
Page not found.,Strona nie znaleziona.
We can't specify a product.,Nie możemy określić produktu.
We can't add the item to Wish List right now: %1.,Nie możemy teraz dodać przedmiotu do listy życzeń: %1.
We can't add the item to Wish List right now.,Nie możemy teraz dodać przedmiotu do listy życzeń.
You added %1 to your shopping cart.,Dodano %1 do koszyka na zakupy.
This product(s) is out of stock.,Ten produkt (y) nie ma w magazynie.
We can't add the item to the cart right now.,Nie możemy teraz dodać przedmiotu do koszyka.
We can't load the Wish List item right now.,Nie możemy załadować elementu listy życzeń już teraz.
We can't configure the product right now.,Nie możemy teraz skonfigurować produktu.
The requested cart item doesn't exist.,Żądany przedmiot koszyka nie istnieje.
%1 has been moved to your wish list., %1 został przeniesiony do twojej listy życzeń.
We can't move the item to the wish list.,Nie możemy przenieść przedmiotu do listy życzeń.
We can't delete the item from Wish List right now because of an error: %1.,Nie możemy teraz usunąć elementu z listy życzeń z powodu błędu: %1.
We can't delete the item from the Wish List right now.,Nie możemy teraz usunąć tego elementu z listy życzeń.
Message length must not exceed %1 symbols,Długość wiadomości nie może przekraczać symboli %1
Please enter an email address.,Wprowadź adres e-mail.
This wish list can be shared %1 more times.,Ta lista życzeń może być współdzielona %1 więcej razy.
Please enter a valid email address.,Proszę wpisać aktualny adres e-mail.
Your wish list has been shared.,Twoja lista życzeń została udostępniona.
We can't delete item from Wish List right now.,Nie możemy teraz usunąć elementu z listy życzeń.
Can't save description %1,Nie można zapisać opisu %1
Can't update wish list,Nie można zaktualizować listy życzeń
%1 has been updated in your Wish List., %1 został zaktualizowany na twojej liście życzeń.
We can't update your Wish List right now.,Nie możemy teraz zaktualizować Twojej listy życzeń.
The requested Wish List doesn't exist.,Żądana lista życzeń nie istnieje.
We can't create the Wish List right now.,Nie możemy teraz utworzyć listy życzeń.
%1 items, %1 przedmiotów
1 item,1 pozycja
Comment,Komentarz
Display number of items in wish list,Pokaż liczbę przedmiotów na liście życzeń
Display item quantities,Wyświetlaj wielkości pozycji
An item option with code %1 already exists.,Opcja elementu z kodem %1 już istnieje.
We can't specify a wish list.,Nie możemy określić listy życzeń.
Cannot specify product.,Nie można określić produktu.
Product is not salable.,Produkt nie nadaje się do sprzedaży.
Invalid item option format.,Nieprawidłowy format opcji przedmiotu.
"%1 for ""%2""."," %1 dla "" %2""."
We can't add this item to your shopping cart right now.,Nie możemy teraz dodać tego produktu do koszyka.
We couldn't add the following product(s) to the shopping cart: %1.,Nie mogliśmy dodać następujących produktów do koszyka: %1.
We can't update the Wish List right now.,Nie możemy teraz zaktualizować listy życzeń.
%1 product(s) have been added to shopping cart: %2., %1 produkt (ów) zostało dodanych do koszyka: %2.
Comment:,Komentarz:
We cannot retrieve the Wish List.,Nie możemy odzyskać listy życzeń.
%1's Wishlist, %1's Wishlist
We can't specify a wish list item.,Nie możemy określić elementu listy życzeń.
The product does not exist.,Produkt nie istnieje.
Test Phrase,Frazy testowe
message,wiadomość
Message,Wiadomość
error-message,Komunikat o błędzie
LocalizedException,LocalizedException
Product Exception.,Wyjątek produktowy.
Localized Exception.,Zlokalizowany wyjątek.
Are you sure you want to remove this item?,Czy na pewno chcesz usunąć ten element?
Share Wish List,Udostępnij listę życzeń
Add All to Cart,Dodaj wszystko do koszyka
Update Wish List,Zaktualizuj listę życzeń
Move to Wishlist,Przejdź do listy życzeń
