Edit URL Rewrite for a Category,Edytuj przepisywanie URL dla kategorii
Add URL Rewrite for a Category,Dodaj przepisanie URL-a dla kategorii
Category:,Kategoria:
We can't set up a URL rewrite because the product you chose is not associated with a website.,"Nie możemy skonfigurować przepisywania adresu URL, ponieważ wybrany produkt nie jest powiązany z witryną."
Please assign a website to the selected category.,Proszę przypisać stronę do wybranej kategorii.
Edit URL Rewrite for a Product,Edytuj przepisanie adresu URL dla produktu
Add URL Rewrite for a Product,Dodaj przepisanie adresu URL do produktu
Product:,Produkt:
Skip Category Selection,Pomiń wybór kategorii
ID,ID
Name,Nazwa
SKU,SKU
Status,Status
Edit URL Rewrite for CMS page,Edytuj URL Przepis na stronę CMS
Add URL Rewrite for CMS page,Dodaj URL Rewrite dla strony CMS
CMS page:,Strona CMS:
Please assign a website to the selected CMS page.,Proszę przypisać witrynę do wybranej strony CMS.
Title,Tytuł
URL Key,Klucz URL
Store View,Widok sklepu
Edit URL Rewrite,Edytuj URL ponownie napisać
Add New URL Rewrite,Dodaj nowe przeprojektowanie adresu URL
Reset,Nastawić
Back,Plecy
Delete,Kasować
Are you sure you want to do this?,Czy na pewno chcesz to zrobić?
Save,Zapisać
Block Information,Informacje o bloku
URL Rewrite Information,Informacje o przepisywaniu adresu URL
Request Path,Poproś o ścieżkę
Target Path,Ścieżka docelowa
Redirect Type,Typ przekierowania
Description,Opis
Store,Sklep
URL Rewrite Management,Zarządzanie przepisem URL
Add URL Rewrite,Dodaj przepisanie adresu URL
Custom,Zwyczaj
For Category,Dla kategorii
For Product,Dla produktu
For CMS page,Dla strony CMS
Create URL Rewrite,Utwórz Przepraszanie URL
You deleted the URL rewrite.,Usunąłeś przepisanie adresu URL.
We can't delete URL Rewrite right now.,Nie możemy teraz usunąć Aktualizacji URL.
URL Rewrites,URL Rewrites
The product you chose is not associated with the selected store or category.,Wybrany produkt nie jest powiązany z wybranym sklepem lub kategorią.
The category you chose is not associated with the selected store.,Wybrana kategoria nie jest powiązana z wybranym sklepem.
The URL Rewrite has been saved.,Ponowne zapisanie adresu URL zostało zapisane.
Something went wrong while saving URL Rewrite.,Coś poszło nie tak podczas zapisywania Przepraszania URL.
Do not use two or more consecutive slashes in the request path.,Nie używaj dwóch lub więcej kolejnych ukośników w ścieżce żądania.
Anchor symbol (#) is not supported in request path.,Symbol zakotwiczenia (#) nie jest obsługiwany w ścieżce żądania.
Do not use two or more consecutive slashes in the url rewrite suffix.,Nie używaj dwóch lub więcej kolejnych ukośników w sufiksie urr do przepisywania.
Anchor symbol (#) is not supported in url rewrite suffix.,Symbol zakotwiczenia (#) nie jest obsługiwany w suficie do przepisywania adresu url.
No,Nie
Temporary (302),Tymczasowe (302)
Permanent (301),Trwałe (301)
Request Path for Specified Store,Poproś o ścieżkę do określonego sklepu
URL key for specified store already exists.,Klucz URL dla określonego sklepu już istnieje.
Custom storage message,Niestandardowa wiadomość do przechowywania
Select Category,Wybierz kategorię
Action,Akcja
Edit,Edytować
