Change Billing Address,Zmień adres rozliczeniowy
Ship to Multiple Addresses,Wyślij pod wiele adresów
Billing Information - %1,Informacje rozliczeniowe - %1
Review Order - %1,Zamówienie przeglądu - %1
Total,Całkowity
Total for this address,Razem dla tego adresu
Shipping Methods,Metody wysyłki
Edit Address,Edytuj adres
Edit Billing Address,Edytuj adres rozliczeniowy
Edit Shipping Address,Edytuj adres wysyłki
Create Billing Address,Utwórz adres rozliczeniowy
Create Shipping Address,Utwórz adres wysyłki
Data saving problem,Problem z zapisaniem danych
We cannot open the overview page.,Nie możemy otworzyć strony przeglądu.
Please agree to all Terms and Conditions before placing the order.,Przed złożeniem zamówienia należy wyrazić zgodę na wszystkie warunki.
Order place error,Błąd miejsca zamówienia
Maximum qty allowed for Shipping to multiple addresses is %1,Maksymalna dozwolona ilość do wysyłki do wielu adresów to %1
Please check shipping address information.,Sprawdź informacje o adresie wysyłki.
Please check billing address information.,Sprawdź informacje o adresie rozliczeniowym.
Please select shipping methods for all addresses.,Wybierz metody wysyłki dla wszystkich adresów.
A payment method is not defined.,Metoda płatności nie jest zdefiniowana.
The requested payment method is not available for multishipping.,Żądana metoda płatności nie jest dostępna w przypadku wielostopni.
Item not found or already ordered,Produkt nie znaleziony lub już zamówiony
Please specify a payment method.,Podaj metodę płatności.
Please check shipping addresses information.,Sprawdź informacje o adresach wysyłki.
Please specify shipping methods for all addresses.,Podaj metody wysyłki dla wszystkich adresów.
Some addresses cannot be used due to country-specific configurations.,Niektóre adresy nie mogą być używane z powodu konfiguracji specyficznych dla kraju.
Select Addresses,Wybierz adresy
Shipping Information,informacje wysyłkowe
Billing Information,Informacje rozliczeniowe
Place Order,Złóż zamówienie
Order Success,Zamów sukces
Default Billing,Domyślne płatności
Default Shipping,Domyślna wysyłka
Select Address,Wybierz adres
Add New Address,Dodaj nowy adres
Back to Billing Information,Powrót do informacji rozliczeniowych
Please select a shipping address for applicable items.,Wybierz adres wysyłki dla odpowiednich produktów.
Product,Produkt
Qty,Ilość
Send To,Wysłać do
A shipping selection is not applicable.,Wybór wysyłki nie ma zastosowania.
Actions,działania
Remove Item,Usuń przedmiot
Remove item,Usuń przedmiot
Go to Shipping Information,Przejdź do informacji o wysyłce
Update Qty &amp; Addresses,Zaktualizuj ilość & amp; Adresy
Enter a New Address,Wprowadź nowy adres
Back to Shopping Cart,Powrót do koszyka
Billing Address,Adres rozliczeniowy
Change,Zmiana
Payment Method,Metoda płatności
Go to Review Your Order,Przejdź do przeglądu zamówienia
Back to Shipping Information,Powrót do informacji o wysyłce
Other items in your order,Inne przedmioty w zamówieniu
Edit Items,Edytuj elementy
Shipping is not applicable.,Wysyłka nie dotyczy.
Product Name,Nazwa produktu
Rachunek Out with Multiple Addresses,Zaloguj się przed złożeniem zamówienia 
Address %1 <span>of %2</span>,Adres %1 <span> z %2 </ span>
Shipping To,Wysyłka do
Shipping Method,Sposób wysyłki
Incl. Tax,Incl. Podatek
Excl. Tax,Excl. Podatek
Order Review,Przegląd zamówienia
Item,Pozycja
Edit,Edytować
Price,Cena
Subtotal,Suma częściowa
Items,Przedmiotów
Grand Total:,Łączna suma:
Submitting order information...,Przesyłam informacje o zamówieniu ...
"Sorry, no quotes are available for this order right now.","Niestety, obecnie nie ma dostępnych ofert dla tego zamówienia."
Continue to Billing Information,Przejdź do informacji rozliczeniowych
Back to Select Addresses,Wróć do Wybierz adresy
Thank you for your purchase!,Dziękujemy za zakupy!
Thanks for your order. We'll email you order details and tracking information.,Dziękujemy za zamówienie. Prześlemy do Ciebie e-mailem szczegóły zamówienia i informacje o śledzeniu.
Your order numbers are: ,Twoje numery zamówień to:
Your order number is: ,Twój numer zamówienia to:
Continue Shopping,Kontynuować zakupy
We can't complete your order because you don't have a payment method set up.,"Nie możemy zrealizować Twojego zamówienia, ponieważ nie masz skonfigurowanej metody płatności."
Please choose a payment method.,Wybierz metodę płatności.
Multishipping Settings Section,Sekcja Ustawienia Multishipping
Multishipping Settings,Ustawienia Multishipping
Options,Opcje
Allow Shipping to Multiple Addresses,Zezwalaj na wysyłkę do wielu adresów
Maximum Qty Allowed for Shipping to Multiple Addresses,Maksymalna ilość dozwolona dla wysyłki do wielu adresów
Review Order,Przegląd zamówienia
Select Shipping Method,Wybierz metodę wysyłki
We received your order!,Otrzymaliśmy Twoje zamówienie!
