cc_type,Typ karty kredytowej
cc_number,numer karty kredytowej
avsPostalCodeResponseCode,Kod odpowiedzi na kod pocztowy firmy AVS
avsStreetAddressResponseCode,Kod odpowiedzi na adres siedziby firmy AVS
cvvResponseCode,Kod odpowiedzi CVV
processorAuthorizationCode,Kod autoryzacji procesora
processorResponseCode,Kod odpowiedzi procesora
processorResponseText,Tekst odpowiedzi odpowiedzi procesora
braintree,Braintree
liabilityShifted,Przeniesienie odpowiedzialności
liabilityShiftPossible,Trwa możliwość zmiany odpowiedzialności
riskDataId,Identyfikator ryzyka
riskDataDecision,Decyzja o Ryzyku
paymentId,Identyfikator płatności
payerEmail,Payer Email
sale,Sprzedaż
credit,Kredyt
authorization_expired,Upoważnienie wygasło
authorizing,Autoryzowanie
authorized,Upoważniony
gateway_rejected,Odrzucona brama
failed,Niepowodzenie
processor_declined,Procesor odrzucił
settled,Osiadły
settling,Utknięcie
submitted_for_settlement,Złożony do rozliczenia
voided,Nieważne
unrecognized,Nierozpoznany
settlement_declined,Ugoda została odrzucona
settlement_pending,Rozliczenia oczekujące
settlement_confirmed,Potwierdzono rozliczenie
paypal_account,konto paypal
coinbase_account,Rachunek monetarny
europe_bank_accout,Konto bankowe w Europie
credit_card,Karta kredytowa
apple_pay_card,Karta płatnicza firmy Apple
android_pay_card,Karta płatnicza Androida
Country,Kraj
Allowed Credit Card Types,Dozwolone typy kart kredytowych
Add Rule,Dodaj regułę
Braintree Settlement Report,Raport o Ugodzie Braintree
"Sorry, but something went wrong","Przepraszam, ale coś poszło nie tak"
We can't initialize checkout.,Nie możemy zainicjować kasy.
No authorization transaction to proceed capture.,"Brak transakcji autoryzacji, aby kontynuować przechwytywanie."
Braintree error response.,Braintree error response.
Payment method nonce can't be retrieved.,Nie można pobrać metody nonce.
Wrong transaction status,Niewłaściwy stan transakcji
Authorize,Autoryzować
Authorize and Capture,Autoryzuj i przechwytywaj
--Please Select--,--Proszę wybrać--
Please agree to all the terms and conditions before placing the order.,Prosimy o wyrażenie zgody na wszystkie warunki przed złożeniem zamówienia.
